Country/Economy,Level,Policy type,Key policy measures and targets,Year announced,Category,Source
China,National,Objective,NEV sales in key air pollution control regions to account for about 50% of new vehicle sales by 2030 (Synergetic Reduction of Pollution and Carbon Emission).,2022,LDV,"China, Ministry of Ecology and Environment"
Iceland,Multi-national,Objective,Signatory to COP26 ZEV Declaration to work towards all sales of new cars and vans being zero emission by no later than 2035 in leading markets.,2022,LDV,Accelerating to Zero Coalition
India,National,Announced target,"National Electric Bus Programme - Ambitious National Electric Bus Program (NEBP) launched in 2022, aiming to deploy an additional 50 000 electric buses over 5 years.",2022,Bus,Government of India
Poland,National,Legislation,Grant available equal to 30-50% of the eligible costs depending on power rating.,2022,EVSE,Government of Poland
Poland,Multi-national,Objective,Signatory to COP26 ZEV Declaration to work towards all sales of new cars and vans being zero emission by no later than 2035 in leading markets.,2022,LDV,Accelerating to Zero Coalition
Rwanda,Multi-national,Objective,Signatory to COP26 ZEV Declaration to work towards all sales of new cars and vans being zero emission globally by 2040.,2022,LDV,Accelerating to Zero Coalition
Seychelles,National,Announced target,30% of new private vehicle sales to be electric by 2030.,2022,LDV,Government of Seychelles
Seychelles,National,Announced target,100% of public bus stock to be electric by 2050.,2022,Bus,Government of Seychelles
Singapore,National,Legislation,Enhanced Commercial Vehicle Emissions (CVES) and Early Turnover Schemes (ETS) which provides incentives and discounted registration costs to owners replacing their older more polluting vehicles.,2022,"Multiple, Taxation",Government of Singapore
Slovenia,National,Legislation,Registration tax reduction for BEVs,2022,"LDV, Taxation",Accelerating to Zero Coalition
Slovenia,Multi-national,Objective,Signatory to COP26 ZEV Declaration to work towards all sales of new cars and vans being zero emission by no later than 2035 in leading markets.,2022,LDV,Accelerating to Zero Coalition
Solomon Islands,National,Announced target,"EV sales share targets of 5%, 10% and 15% by 2025, 2030 and 2035.",2022,M/HDV,Government of the Solomon Islands
Solomon Islands,National,Announced target,"EV sales share targets of 20%, 50% and 70% by 2025, 2030 and 2035.",2022,Bus,Government of the Solomon Islands
Solomon Islands,National,Announced target,"EV sales share targets of 20%, 30%, and 40% by 2025, 2030 and 2035. Targets are higher for taxis, and lower for LCVs.",2022,LDV,Government of the Solomon Islands
Solomon Islands,National,Announced target,"EV sales share targets of 20%, 70%, and 100% by 2025, 2030, and 2035 for two-wheelers, and 100% for three-wheelers from 2025.",2022,2/3W,Government of the Solomon Islands
Spain,Multi-national,Objective,Signatory to COP26 ZEV Declaration to work towards all sales of new cars and vans being zero emission by no later than 2035 in leading markets.,2022,LDV,Accelerating to Zero Coalition
Sweden,Multi-national,Objective,Signatory to COP26 ZEV Declaration to work towards all sales of new cars and vans being zero emission by no later than 2035 in leading markets.,2022,LDV,Accelerating to Zero Coalition
Sweden,Multi-national,Objective,"The pledge goal is 100% zero-emission LDV acquisitions of civil government owned and operated fleet, with aspirations for 100% zero-emission M/HDV acquisitions, by no later than 2035.",2022,"LDV, M/HDV",Zero Emissions Government Fleet Declaration
Switzerland,National,Objective,"50% of new registrations to be BEV/PHEV, and 20 000 charging stations by 2025.",2022,"LDV, EVSE",Roadmap Elektromobiliät (a public-private initiative)
Tajikistan,National,Legislation,10 year exemption from taxes and custom fees for EV imports.,2022,Taxation,Government of Tajikistan
Tajikistan,National,Legislation,"Electric transport development programme aims to create charging and maintenance points for EVs, facilitate battery disposal, and establish production for EVs and spare parts.",2022,Multiple,Government of Tajikistan
Tajikistan,National,Legislation,"The import of electric vehicles, electric buses, trolleybuses and similar vehicles will be exempt from customs duty for 10 years.",2022,Taxation,Government of Tajikistan
Thailand,National,Legislation,Tax reductions and exemptions for EVs to promote their deployment.,2022,Taxation,Government of Thailand
Tunisia,National,Legislation,Customs duties rates are reduced to 10% and value-added tax rate to 7% levied on electric car chargers.,2022,"EVSE, Taxation",Government of Tunisia
Türkiye,Multi-national,Objective,Signatory to COP26 ZEV Declaration to work towards all sales of new cars and vans being zero emission globally by 2040.,2022,LDV,Accelerating to Zero Coalition
Ukraine,Multi-national,Objective,"30% ZEV sales in M/HDVs by 2030, 100% by 2040.",2022,M/HDV,CALSTART: Drive to Zero MOU
Ukraine,Multi-national,Objective,Signatory to COP26 ZEV Declaration to work towards all sales of new cars and vans being zero emission globally by 2040.,2022,LDV,Accelerating to Zero Coalition
United Arab Emirates,Subnational,Legislation,"Abu Dhabi: Regulatory policy that sets out the fundamental principles for ownership, installation and management of EVSE, the electricity supply to EVSE, and pricing mechanisms.",2022,EVSE,Government of Dubai
United Kingdom,National,Legislation,"From April 2025, EVs will begin to pay excise duty, initially at the lowest rates; exemption from the ""Expensive Car Supplement"" will also end in April 2025.",2022,"Taxation, Multiple",Government of the United Kingdom
United Kingdom,Multi-national,Objective,Signatory to COP26 ZEV Declaration to work towards all sales of new cars and vans being zero emission by no later than 2035 in leading markets.,2022,LDV,Accelerating to Zero Coalition
United Kingdom,National,Objective,"Electric vehicle infrastructure strategy: Around 300 000 public chargers expected as a minimum by 2030, and 6 000 fast chargers by 2035.",2022,EVSE,Government of the United Kingdom
United States,National,Legislation,"USD 6 billion grant programme, including USD 3 billion to fund the domestic production of materials needed for the EV supply chain, including the refining of nickel, lithium and cobalt, as well as rare earth metals (Infrastructure Investment and Jobs Act).",2022,Manufacturing,Government of the United States
United States,National,Legislation,"The Clean Vehicle Tax Credit offers up to USD 7 500 for the purchase of a new electric car that meets eligibility requirements, including requirements related to location of final assembly and sourcing of batteries and critical minerals.",2022,"LDV, Manufacturing",Government of the United States
United States,Subnational,Legislation,California: USD 1 billion funding for transportation electrification programme with 70% for M/HDV charging infrastructure and 30% for LDV charging in Municipal Utility Districts.,2022,EVSE,California Public Utilities Commission
United States,Subnational,Legislation,"California: Advanced Clean Cars Rule II (ACC-II) has set a target for 100% ZEVs in LDVs by 2035, starting with 36% sales requirement in 2026.",2022,LDV,California Air Resources Board
United States,Subnational,Legislation,"Multiple: The National Electric Vehicle Infrastructure (NEVI) Program, established under the Infrastructure Investment and Jobs Act, provides funding to States to strategically deploy public EV charging infrastructure.",2022,EVSE,US Department of Transportation
United States,Subnational,Legislation,Vermont: Grants and incentives towards the purchase of new and used EVs and EVSE.,2022,"LDV, EVSE",Drive Electric Vermont
United States,Subnational,Legislation,Washington: 100% ZEV share of LDV sales by 2030.,2022,LDV,Washington State Legislature
Uruguay,Multi-national,Objective,Signatory to COP26 ZEV Declaration to work towards all sales of new cars and vans being zero emission by no later than 2035 in leading markets.,2022,LDV,Accelerating to Zero Coalition
Uzbekistan,National,Legislation,Exemptions and/or reductions of various taxes and duties for EVs and EV parts up to 2030.,2022,Taxation,Government of Uzbekistan
Uzbekistan,National,Objective,2 500 charging stations by 2025.,2022,EVSE,Government of Uzbekistan
Viet Nam,National,Announced target,"Net zero greenhouse gas emissions in the transport sector by 2050, with a goal of 100% of road transport using electricity and green energy.",2022,Multiple,Government of Vietnam
Viet Nam,National,Legislation,"Reduced excise tax for BEV cars and buses up to 24 passengers and LCVs (from 15% current tax rate), rates reduced to 2-3% (depending on model), to increase to 11% after 2027.",2022,Taxation,Government of Vietnam
Zimbabwe,National,Announced target,Reduction of gasoline and diesel demand by ICE vehicles through the uptake of electric and hydrogen vehicles.,2022,Multiple,Government of Zimbabwe
Canada,Subnational,Objective,British Columbia: 10 000 public EV charging stations by 2030.,2021,EVSE,Government of British Columbia
Chile,National,Announced target,100% of sales of public transport vehicles will be zero-emissions by 2035.,2021,Bus,Government of Chile
Chile,National,Announced target,"100% of sales of heavy mobile machinery will be zero-emissions by 2035, 100% of sales of all mobile machinery (heavy and light) by 2040.",2021,M/HDV,Government of Chile
Chile,National,Legislation,"Energy efficiency law which promotes the importation of BEVs and PHEVs. Entered into force in 2024, requiring fleet average efficiency of 5.3Lge/100km for the period 2024-26. 2027–2029: An improvement to 22.8 km/lge. 2030: A further increase to 28.9 km/lge.",2021,LDV,Government of Chile
Chile,Multi-national,Objective,"Signatory of the Memorandum of Understanding (MOU) on Zero-Emission Medium- and Heavy-Duty Vehicles, which targets 30% ZEV sales in M/HDVs by 2030, 100% by 2040.",2021,M/HDV,CALSTART: Drive to Zero MOU
China,Subnational,Announced target,"Guangzhou: 800 000 NEV stock for passenger LDVs by 2025, accounting for 20% of all car stocks by 2025. NEVs account for 50% of car sales.",2021,LDV,Guangzhou Municipal Government
China,Subnational,Announced target,Zhejiang: Annual production of 600 000 NEVs by 2025.,2021,Manufacturing,Zhejiang Provincial Government
China,National,Announced target,72% share of NEVs in national urban public transport stock and 20% in logistics distribution stock by 2025.,2021,"Bus, LDV","China, Ministry of Transport"
China,National,Legislation,"Updated Lithium-ion Battery Industry Regulatory Conditions and the Lithium-ion Battery Industry Regulatory Management Measures set out specific standards on battery, cathode material, anode material, separator and electrolyte.",2021,Manufacturing,"China, Ministry of Industry and Information Technology"
China,National,Objective,China's Action Plan for Reaching Carbon Dioxide Peak Before 2030: Proportion of new energy and clean energy-powered vehicle sales (for transport) to reach around 40% by 2030.,2021,Multiple,"China, State Council"
China,National,Objective,"11 pilot cities to demonstrate battery swapping technology, ultimately aiming to promote more than 100 000 battery swapping-enabled EVs, and more than 1 000 battery swapping stations in the demonstration period.",2021,EVSE,China's Ministry of Industry and Information Technology
India,Subnational,Announced target,Assam: 25 000 electric 4Ws in stock by 2026.,2021,LDV,"Government of Assam, India"
India,Subnational,Announced target,Assam: 100% of government vehicles to be converted to EVs by 2030.,2021,Multiple,"Government of Assam, India"
India,Subnational,Announced target,Assam: BEVs to make up 25% of all vehicle registrations by 2026.,2021,Multiple,"Government of Assam, India"
India,Subnational,Announced target,Assam: 100% electric buses sales by 2030.,2021,Bus,"Government of Assam, India"
India,Subnational,Announced target,"Assam: 100 000 electric two-wheelers, 75 000 electric three-wheelers stock by 2026.",2021,2/3W,"Government of Assam, India"
India,Subnational,Announced target,Gujarat: 20 000 4W EVs in stock by 2025.,2021,LDV,"Government of Gujarat, India"
India,Subnational,Announced target,"Gujarat: 110 000 electric two-wheelers, 70 000 electric three-wheelers stock by 2025.",2021,2/3W,"Government of Gujarat, India"
India,Subnational,Announced target,"Maharashtra: 5% electric 4W sales by 2025, 25% for electric fleet operators.",2021,LDV,"NITI Aayog, Government of India"
India,Subnational,Announced target,Maharashtra: 15% electric bus sales (25% in urban areas) by 2025.,2021,Bus,"NITI Aayog, Government of India"
India,Subnational,Announced target,Maharashtra: 10% electric two-wheeler sales by 2025; 20% electric three-wheeler sales by 2025.,2021,2/3W,"NITI Aayog, Government of India"
India,Subnational,Announced target,West Bengal: 100 000 public and semi-public charging stations by 2026.,2021,EVSE,Government of India
India,National,Legislation,Production Linked Incentive (PLI) Scheme for Automobile and Auto Component Industry. USD 3.1 billion as financial incentives to promote domestic manufacturing and draw investments into the value chain of the automotive manufacturing industry.,2021,Manufacturing,"India, Department of Heavy Industries"
India,National,Legislation,Production Linked Incentive (PLI) Scheme for Advanced Cell Chemistry manufacturing in India.,2021,Manufacturing,"India, Department of Heavy Industries"
India,National,Legislation,"Passenger vehicles older than 20 years and commercial vehicles older than 15 years must pass a “fitness and emissions test” to retain their registration; incentives to scrap old vehicles, including discounts on the purchase of new vehicles against a scrappage certificate.",2021,LDV,Government of India
India,Subnational,Legislation,Goa: 100% exemption from road tax and one-time registration fee for BEVs. Subsidy of 20-50% on fixed capital investment amount (variable as per industry size). Manufacturing units will receive an exemption on goods and services tax (tax payable on purchase of goods) and stamp duty (tax payable on registration of properties).,2021,Taxation,Goa Government
India,Multi-national,Objective,Signatory to COP26 ZEV Declaration to work towards all sales of new cars and vans being zero emission globally by 2040.,2021,LDV,Accelerating to Zero Coalition
India,Subnational,Objective,Manipur: 15% of sales to be EV by 2025.,2021,Multiple,"NITI Aayog, Government of India"
India,Subnational,Objective,Odisha: BEVs to account for 20% of total vehicle sales by 2025.,2021,Multiple,"NITI Aayog, Government of India"
Poland,National,Legislation,"Grants towards the purchase of ZEVs, with higher amounts available depending on vehicle size, commercial use, and annual mileage.",2021,LDV,Government of Poland
Portugal,Multi-national,Objective,"Signatory of the Memorandum of Understanding (MOU) on Zero-Emission Medium- and Heavy-Duty Vehicles, which targets 30% ZEV sales in M/HDVs by 2030, 100% by 2040.",2021,M/HDV,CALSTART: Drive to Zero MOU
Russia,National,Announced target,"Scenarios (3) envisage a 5-30% share of new sales by 2030, meaning 0.5 - 3.2 million EVs on the road by 2030.",2021,LDV,Government of Russia
Russia,National,Announced target,EVs are exempt from tolls.,2021,"LDV, Taxation",Government of Russia
Russia,National,Announced target,"EV Development Concept (2021): State funding for the development of a battery industry, including production of the raw materials.",2021,Manufacturing,Government of Russia
Russia,National,Announced target,"Production of at least 25 000 EVs by 2024, and no less than 10% of total production to be EVs by 2030.",2021,Manufacturing,Government of Russia
Russia,National,Objective,"EV Development Concept (2021): The government introduced concessional loans and leasing programs to encourage EV purchases. Related policy that I cannot confirm is: Russia introduced financial incentives for EV buyers, including subsidized leasing and state support for up to 25% of the cost of domestically produced electric cars (Government Order No. 2633-р).",2021,"Multiple, LDV",Government of Russia
Russia,National,Objective,"At least 9 400 and 2 900 standard and fast charging stations by 2024, and 72 000 and 28 000 respectively by 2030, and up to 144 000 in more ambitious scenarios.",2021,EVSE,Government of Russia
Rwanda,National,Legislation,"VAT, withholding tax, and import duty exemptions for EVs and associated parts/equipment.",2021,Taxation,Government of Rwanda
Rwanda,National,Legislation,"Introduction of a carbon tax, establishment of restricted zones for green transport, and further preferential treatment for EVs.",2021,"Taxation, Multiple",Government of Rwanda
Rwanda,National,Legislation,"Tariffs at charging stations are capped at industrial rates, with lower off-peak tariffs; provision of charging stations including planning codes.",2021,EVSE,Government of Rwanda
Scotland,Multi-national,Objective,"Signatory of the Memorandum of Understanding (MOU) on Zero-Emission Medium- and Heavy-Duty Vehicles, which targets 30% ZEV sales in M/HDVs by 2030, 100% by 2040.",2021,M/HDV,CALSTART: Drive to Zero MOU
Singapore,National,Announced target,"No new diesel car or taxi registrations from 2025, and all new registrations to be EV, PHEV, or FCEV by 2030.",2021,LDV,Government of Singapore
Singapore,National,Legislation,"Suite of rebates, reduced registration costs, and lower taxes applied to EVs and petrol hybrids.",2021,"LDV, Taxation",Government of Singapore
Sint Maarten,Multi-national,Objective,"Signatory of the Memorandum of Understanding (MOU) on Zero-Emission Medium- and Heavy-Duty Vehicles, which targets 30% ZEV sales in M/HDVs by 2030, 100% by 2040.",2021,M/HDV,CALSTART: Drive to Zero MOU
Spain,National,Announced target,National Energy and Climate Plan: 5 million EVs by 2030 (across all modes).,2021,Multiple,Government of Spain
Spain,National,Proposal,No sales of passenger LDVs that emit CO2 at the tailpipe by 2040.,2021,LDV,Government of Spain
Spain,National,Proposal,"Fuel supply facilities are obliged to install EV chargers, with limited exceptions.",2021,EVSE,Government of Spain
Spain,National,Legislation,"Creation of low-emissions zones in municipalities with more than 50 000 people, covering 70% of Spanish cities.",2021,Multiple,Government of Spain
Spain,National,Legislation,"Grants towards the purchase of EVs, with bonuses for scrapping a vehicle more than 7 years old, for self-employed drivers in municipalities of fewer than 5 000 people, and for those with reduced mobility.",2021,LDV,Government of Spain
Sweden,National,Proposal,Expansion of 2 400 km of electric road by 2037.,2021,"M/HDV, EVSE",Government of Sweden
Sweden,National,Objective,Public and private pledges (accompanied by action plans) to electrify regional freight transport under the Commission for Electrification.,2021,M/HDV,Government of Sweden
Switzerland,Multi-national,Objective,"Signatory of the Memorandum of Understanding (MOU) on Zero-Emission Medium- and Heavy-Duty Vehicles, which targets 30% ZEV sales in M/HDVs by 2030, 100% by 2040.",2021,M/HDV,CALSTART: Drive to Zero MOU
Thailand,National,Objective,"402 000 EV LDVs by 2025, 6.4 million by 2035.",2021,LDV,Government of Thailand
Thailand,National,Objective,"31 000 EV buses/trucks by 2025, and 430 000 buses/trucks by 2035.",2021,"M/HDV, Bus",Government of Thailand
Thailand,National,Objective,12 000 public fast charging stations by 2030 and 1 450 battery swapping stations.,2021,EVSE,Government of Thailand
Thailand,National,Objective,"622 000 EV two/three-wheelers by 2025, and 8.75 million by 2035.",2021,2/3W,Government of Thailand
Thailand,National,Objective,"30% share of ZEVs in domestic LDV production by 2030, 50% by 2035. 35% share of ZEVs in domestic bus production by 2025, 50% by 2030 and 85% by 2035.",2021,Manufacturing,Government of Thailand
Trinidad and Tobago,National,Legislation,"Removal of all taxes and duties on the importation of EVs, with an age limit of two years on used imports.",2021,Taxation,Government of Trinidad and Tobago
Turks and Caicos Islands,National,Legislation,Ban on the import of vehicles more than 10 years old.,2021,Multiple,Turks and Caicos Government
Türkiye,Multi-national,Objective,"30% ZEV sales in M/HDVs by 2030, 100% by 2040.",2021,M/HDV,CALSTART: Drive to Zero MOU
Ukraine,National,Proposal,"Ban on the import of used diesel buses and cars from 2027, and the ban on new and used petrol and diesel vehicles from 2030.",2021,Multiple,Government of Ukraine
Ukraine,National,Proposal,"Requires the exclusive use of electric buses from 2030 onwards, with tenderers for the provision of such services required to have 20% electric buses in their fleets by 2025, 40% by 2027, and 80% by 2029.",2021,Bus,Government of Ukraine
United Kingdom,National,Announced target,"Electrifying 100% of the central government fleet by 2027, ahead of the original 2030 target.",2021,Multiple,Government of the United Kingdom
United Kingdom,National,Proposal,"End the sale of all non-ZEV HGVs under 26 t gross vehicle weight from 2035, and of all new non-ZEV HGVs from 2040.",2021,M/HDV,Government of the United Kingdom
United Kingdom,National,Proposal,Up to USD 1.2 billion Automotive Transformation Fund (ATF) commitment to support the electrification of UK vehicles and their supply chains as part of the Net Zero Strategy.,2021,Manufacturing,Government of the United Kingdom
United Kingdom,National,Legislation,Grants towards the purchase of LCVs and taxis.,2021,LDV,Government of the United Kingdom
United Kingdom,National,Legislation,A grant of 20% available for vehicles with at least 50% fewer emissions than a conventional Euro VI vehicle and 96 km zero emission range.,2021,M/HDV,Government of the United Kingdom
United Kingdom,National,Objective,Regulations in 2021 to mandate EV charge point provision in new homes.,2021,EVSE,Government of the United Kingdom
United Kingdom,National,Objective,Purchase of 4 000 ZEV buses as part of the Bus Back Better strategy.,2021,Bus,Government of the United Kingdom
United Kingdom,Multi-national,Objective,"30% ZEV sales in M/HDVs by 2030, 100% by 2040.",2021,M/HDV,CALSTART: Drive to Zero MOU
United States,Subnational,Legislation,"California: The Advanced Clean Fleets regulation requires that 50% of state and local government agency fleet vehicle purchases per year from 2024 to 2026 must be zero-emissions, increasing to 100% beginning in 2027.",2021,M/HDV,California Air Resources Board
United States,Subnational,Legislation,California: Incentives for ZEV infrastructure equipment for HDV battery electric and hydrogen fuel cell vehicles in California.,2021,EVSE,CALSTART
United States,Subnational,Legislation,New York: 100% of in-state sales of off-road vehicles and equipment will be zero-emissions by 2035.,2021,Multiple,New York State Senate
United States,Subnational,Legislation,New York: 100% of in-state sales of passenger cars or light duty trucks will be zero-emissions by 2035.,2021,LDV,New York State Senate
United States,Subnational,Legislation,New York: 100% of in-state sales of M/HDV will be zero-emissions by 2045.,2021,M/HDV,New York State Senate
Uruguay,Multi-national,Objective,"30% ZEV sales in M/HDVs by 2030, 100% by 2040.",2021,M/HDV,CALSTART: Drive to Zero MOU
Wales,Multi-national,Objective,"30% ZEV sales in M/HDVs by 2030, 100% by 2040.",2021,M/HDV,CALSTART: Drive to Zero MOU
Canada,Subnational,Objective,"Quebec: Increase the number of fast-chargers to 2 500 by 2030, and up to 4 500 standard chargers.",2020,EVSE,Government of Quebec
China,National,Announced target,"Proportion of NEVs in new or updated government vehicles for public transport, rental, logistics and distribution in national pilot ecological civilisation zones and key regions for air pollution prevention and control should be no less than 80% from 2021 onwards.",2020,Multiple,China State Council
China,National,Announced target,Achieve an average electricity consumption of new passenger BEVs ≤ 12.0 kWh/ 100 km by 2025.,2020,Manufacturing,China State Council
China,National,Proposal,"Total FCEV fleet reaches around 100 000 by 2025, and around 1 million during the 2030 - 2035 period (Energy-saving and New Energy Vehicle Technology Roadmap 2.0, prepared by China Society of Automotive Engineers, not official government policy).",2020,M/HDV,China Society of Automotive Engineers
China,National,Legislation,Strengthened regulation for NEV manufacturer.,2020,Manufacturing,"China, Ministry of Industry and Information Technology"
China,National,Objective,NEV sales account for around 20% of total new vehicle sales by 2025.,2020,LDV,China State Council
Iceland,National,Announced target,"As of 2020, government entities will not purchase gasoline/petrol or diesel vehicles.",2020,LDV,Government of Iceland
Iceland,National,Proposal,Ban sales of passenger petrol and diesel vehicles after 2030.,2020,LDV,Government of Iceland
Romania,National,Legislation,"Grants towards the purchase of a BEV, lower amounts for a PHEVs, with mandatory scrappage of one car, and various bonuses available as well as tax incentives.",2020,"LDV, Taxation",Governmental
Romania,National,Objective,700 000 BEV and P/HEVs by 2030,2020,LDV,Government of Romania
Romania,National,Objective,"600 000 charging stations, 40 000 of which are fast or semi-fast.",2020,EVSE,Government of Romania
Singapore,National,Announced target,"Deploy 60 000 EV charging points by 2030, 40 000 in public car parks and 20 000 in private premises.",2020,EVSE,Government of Singapore
Singapore,National,Announced target,"All new buses since 2020 are EV or hybrid, with the aim of phasing out all existing diesel buses by 2040 (100% of stock to be EV by 2040).",2020,Bus,Government of Singapore
Spain,National,Legislation,Emitting tax exemption for LEVs (<=120gCO2/km); Annual circulation tax benefits for BEVs in the major cities,2020,"LDV, Taxation",Governmental
Sweden,National,Legislation,"Grants of up to 50% of the cost of the charging station. This grant does not apply to private citizens, public charging infrastructure or charging stations required to be installed by law, other constitution of conditions in permits. The grant applies to charging stations for BEV for residents or employees.",2020,EVSE,Government of Sweden
Switzerland,National,Announced target,"4% of new vehicles to be BEV and PHEV by 2030, 28% BEV by 2050. FCEVs to make up 8% of sales by 2025, 19% by 2050.",2020,M/HDV,Swiss Federal Government
Switzerland,National,Objective,"Sales shares of 28% in 2025, 60% in 2030, and 100% from 2040 for BEV, PHEV, and FCEV. BEV and FCEV only from 2050.",2020,LDV,Swiss Federal Government
Thailand,National,Objective,"30% of total vehicle production (two/three-wheelers, LDVs and urban buses) to be EVs by 2030.",2020,Manufacturing,Government of Thailand
Tonga,National,Announced target,10% of new LDVs to be electric by 2030.,2020,LDV,Government of Tonga
United Arab Emirates,Subnational,Proposal,Dubai : Increased procurement targets of EVs and HEVs at government organisations to 20% in 2025 and 30% in 2030.,2020,Multiple,Government of Dubai
United Arab Emirates,Subnational,Objective,Dubai : EV Green Charger Initiative: Installing charging infrastructure across Dubai (no known specific targets).,2020,EVSE,Government of Dubai
United States,Subnational,Legislation,California: 100% of off-road vehicles and equipment will be zero-emission by 2035.,2020,Multiple,State of California
United States,Subnational,Legislation,California: Advanced Clean Trucks Rules require 40 - 75% of sales by manufacturers (varied by vehicle class and weight) to be ZEV by 2035 (increasing targets from 2024).,2020,M/HDV,California Air Resources Board
United States,Subnational,Legislation,Massachusetts: 100% share of ZEVs in passenger LDV sales by 2035.,2020,LDV,State of Massachusetts
United States,Subnational,Legislation,New Jersey: 85% EV share of LDV sales by 2040.,2020,LDV,New Jersey State Senate
United States,Subnational,Legislation,"New York: Subsidy in the form of a voucher towards the cost of a zero emission bus, depending on vehicle class and location.",2020,Bus,New York State
United States,Subnational,Legislation,"New York: Subsidy in the form of a voucher towards the cost of a zero emission truck, or port cargo handling equipment.",2020,M/HDV,New York State
United States,Subnational,Announced target,"Multistate MoU with a target of 30% ZEV sales for all new commercial M/HDV by 2030 and 100% by 2050 in 15 states (California, Colorado, Connecticut, Hawaii, Maine, Maryland, Massachusetts, New Jersey, New York, North Carolina, Oregon, Pennsylvania, Rhode Island, Vermont and Washington) and the District of Columbia.",2020,"M/HDV, Bus",Multi-State Zero Emission Medium- and Heavy-Duty Vehicle Initiative
Canada,National,Legislation,Accelerated Capital Cost Allowance (CCA) for ZEVs.,2019,Taxation,Government of Canada
Canada,Multi-national,Objective,"Signatory of the Memorandum of Understanding (MOU) on Zero-Emission Medium- and Heavy-Duty Vehicles, which targets 30% ZEV sales in M/HDVs by 2030, 100% by 2040.",2019,M/HDV,CALSTART: Drive to Zero MOU
China,National,Legislation,"Fuel economy standard tightened: By 2025, passenger LDVs to reach 4.0L/100km as measured by the worldwide harmonized light vehicle test procedure (WLTP).",2019,LDV,China State Administration for Market Regulation
China,Subnational,Objective,"Hainan: End the sale of petrol and diesel vehicles by 2030. From 2030, all vehicle sales will be either NEVs or natural gas vehicles.",2019,"LDV, M/HDV",Hainan Provincial Government
India,Subnational,Announced target,Kerala: 100% electric bus sales by 2025.,2019,Bus,"NITI Aayog, Government of India"
India,Subnational,Announced target,Madhya Pradesh: 100% electric bus sales by 2028.,2019,Bus,"NITI Aayog, Government of India"
India,Subnational,Announced target,Uttar Pradesh: 1 000 electric buses in stock by 2030.,2019,Bus,"NITI Aayog, Government of India"
India,National,Legislation,"Per kWh subsidy for electric two-wheeler increased to INR 15 000/kWh from earlier subsidy of INR 10 000/kWh, with a 50% local content requirement.",2019,2/3W,"India, Department of Heavy Industries"
India,Subnational,Objective,Kerala: 1 million EVs in stock by 2030 across all segments,2019,Multiple,"NITI Aayog, Government of India"
India,Subnational,Objective,Madhya Pradesh: 100% electric commercial and logistics fleet sales by 2028.,2019,2/3W,"NITI Aayog, Government of India"
India,Subnational,Objective,Uttar Pradesh: Roll out nearly 1 million EVs in stock across all segments of vehicles by 2024.,2019,Multiple,"NITI Aayog, Government of India"
Netherlands,Subnational,Objective,Noord-Holland: Plans for a transition to emission-free mobility for all traffic by 2030.,2019,Multiple,City of Amsterdam
Portugal,National,Objective,Hydrogen and electricity to account for almost 100% of heavy duty transport by 2050.,2019,M/HDV,Government of Portugal
Portugal,National,Objective,"30% EV share of car sales by 2030, 100% by 2050. Diesel to no longer be cost effective by 2030, petrol by 2040, in both cases replaced by EVs.",2019,LDV,Government of Portugal
Sweden,National,Proposal,Ban on new petrol or diesel cars sales after 2030.,2019,LDV,Government of Sweden
United States,Subnational,Legislation,"California: From 2029, 100% of new purchases by transit agencies must be zero emission buses, with a goal of full transition by 2040.",2019,Bus,California Air Resources Board
Canada,National,Legislation,"Canadian CO2 emissions standards are aligned with the US Phase 2 standard, targeting new heavy duty vehicle CO2 emissions reductions of 5-27% in model year 2027 (depending on vehicle category and weight) compared to 2017.",2018,M/HDV,Government of Canada
China,National,Legislation,NEVs are exempted from China's annual vehicle and vessel tax,2018,Taxation,"China, State Taxation Administration"
India,Subnational,Announced target,Andhra Pradesh: 100% electric bus sales by 2029.,2018,Bus,"NITI Aayog, Government of India"
Poland,National,Legislation,"Local governments have to ensure at least a 30% share of ZEVs in their LDV fleets by 2025, as well as 30% ZEV (or biomethane) buses in public transport services from 2028. Central government central LDV fleet target is 50% by 2025.",2018,"LDV, Bus",Government of Poland
South Africa,National,Announced target,"Convert 5% of the public and national fleet to cleaner alternative fuel and efficient technology vehicles by 2025, with annual increase of 2% thereafter.",2018,"Bus, Multiple",Government of South Africa
South Africa,National,Announced target,Add 40 solar powered public EV charging stations per annum.,2018,EVSE,Government of South Africa
India,Subnational,Announced target,"Karnataka: 4W mini goods vehicles, cab aggregators, corporate fleets, and school buses/vans to achieve 100% electric sales by 2030.",2017,LDV,"NITI Aayog, Government of India"
India,Subnational,Announced target,Karnataka: Three-wheeler sales to achieve 100% electric mobility by 2030.,2017,2/3W,"NITI Aayog, Government of India"
New Zealand,National,Announced target,Nationwide coverage of fast/rapid direct current charging stations every 75 km across state highways.,2017,EVSE,Government of New Zealand
Philippines,National,Legislation,Hybrids pay 50% of the excise tax and BEVs are exempt.,2017,"LDV, Taxation",Government of the Philippines
Portugal,National,Legislation,"Grants towards the purchase of private BEVs, with higher amounts available for BEV LCVs.",2017,LDV,Government of Portugal
Portugal,National,Legislation,Grants available for the installation cost plus up to 80% of the cost of a home charger.,2017,EVSE,Government of Portugal
Portugal,National,Legislation,"BEVs are exempt from payment of vehicle and road tax, reduction of 75% for PHEVs, and 40% for HEVs.",2017,"LDV, Taxation",Government of Portugal
